,0,1,2,3,4,5,6
0,,coef,std err,z,P>|z|,[0.025,0.975]
1,EXT_SOURCE_3,   -0.1402,    0.005,  -25.679, 0.000,   -0.151,   -0.130
2,EXT_SOURCE_2,   -0.1348,    0.006,  -23.750, 0.000,   -0.146,   -0.124
3,EXT_SOURCE_1,   -0.0590,    0.005,  -10.894, 0.000,   -0.070,   -0.048
4,PAYMENT_RATE,    0.0112,    0.005,    2.109, 0.035,    0.001,    0.022
5,CREDIT_TO_GOODS_RATIO,    0.0571,    0.005,   10.419, 0.000,    0.046,    0.068
6,INCOME_TO_EMPLOYED_RATIO,   -0.0445,    0.011,   -4.180, 0.000,   -0.065,   -0.024
7,NAME_EDUCATION_TYPE_Higher education,   -0.0325,    0.005,   -5.997, 0.000,   -0.043,   -0.022
8,AMT_ANNUITY,    0.0133,    0.006,    2.097, 0.036,    0.001,    0.026
9,AVG_CREDIT_TYPE_Credit_card_AMT_CREDIT_SUM_DEBT_B,    0.0123,    0.006,    2.224, 0.026,    0.001,    0.023
10,ANNUITY_INCOME_PERC,    0.0204,    0.006,    3.259, 0.001,    0.008,    0.033
11,NAME_INCOME_TYPE_Working,    0.0218,    0.005,    4.002, 0.000,    0.011,    0.032
12,AVG_CREDIT_TYPE_Microloan_AMT_CREDIT_SUM_B,   -0.0128,    0.006,   -2.013, 0.044,   -0.025,   -0.000
13,AVG_CREDIT_ACTIVE_Active_AMT_CREDIT_MAX_OVERDUE_B,    0.0292,    0.007,    4.324, 0.000,    0.016,    0.042
14,DEF_30_CNT_SOCIAL_CIRCLE,    0.0230,    0.005,    4.363, 0.000,    0.013,    0.033
15,FLAG_DOCUMENT_3,    0.0181,    0.005,    3.299, 0.001,    0.007,    0.029
16,DAYS_ID_PUBLISH,    0.0189,    0.005,    3.542, 0.000,    0.008,    0.029
17,REG_CITY_NOT_LIVE_CITY,    0.0254,    0.005,    4.804, 0.000,    0.015,    0.036
18,REGION_RATING_CLIENT,    0.0122,    0.006,    2.197, 0.028,    0.001,    0.023
19,FLAG_WORK_PHONE,    0.0161,    0.005,    3.003, 0.003,    0.006,    0.027
20,DAYS_LAST_PHONE_CHANGE,    0.0138,    0.005,    2.580, 0.010,    0.003,    0.024
21,MAX_CREDIT_ACTIVE_Sold_AMT_CREDIT_MAX_OVERDUE_B,    0.2135,    0.067,    3.165, 0.002,    0.081,    0.346
22,AVG_CREDIT_TYPE_Microloan_B,    0.0329,    0.006,    5.565, 0.000,    0.021,    0.044
