,feature,importance,flag_cutoff
25,EXT_SOURCE_3,0.2657093232916629,1
24,EXT_SOURCE_2,0.23610519873401714,1
23,EXT_SOURCE_1,0.07189650535888101,1
794,PAYMENT_RATE,0.045269725917484266,1
795,CREDIT_TO_GOODS_RATIO,0.035794612803399836,1
644,MIN_DEBT_CREDIT_DIFF_B,0.025806439576869723,1
5,DAYS_BIRTH,0.01968204183063752,1
796,INCOME_TO_EMPLOYED_RATIO,0.016938944148201626,1
137,SUM_CREDIT_TYPE_Microloan_AMT_CREDIT_SUM_DEBT_B,0.013024025963389549,1
639,SUM_BUREAU_CREDIT_DEBT_RATIO_B,0.012436974217656795,1
816,NAME_EDUCATION_TYPE_Higher education,0.011911452726145034,1
3,AMT_ANNUITY,0.010338469180615473,1
42,FLAG_DOCUMENT_3,0.009620015800382171,1
645,MIN_BUREAU_CREDIT_DEBT_RATIO_B,0.008800002329210804,1
379,MAX_DAYS_CREDIT_B,0.0066301073707654,1
8,DAYS_ID_PUBLISH,0.00631770760637462,1
386,AVG_DAYS_CREDIT_B,0.006300327076253617,1
722,AVG_CREDIT_TYPE_Consumer_credit_DAYS_CREDIT_ENDDATE_B,0.0059909012578324445,1
39,DEF_30_CNT_SOCIAL_CIRCLE,0.00584867230929486,1
148,SUM_CREDIT_TYPE_Consumer_credit_AMT_CREDIT_SUM_OVERDUE_B,0.0055840754191649345,1
333,AVG_CREDIT_ACTIVE_Active_B,0.005354477922644363,1
257,MAX_CREDIT_ACTIVE_Active_AMT_CREDIT_MAX_OVERDUE_B,0.005187808118749668,1
522,MIN_CREDIT_ACTIVE_Active_AMT_CREDIT_MAX_OVERDUE_B,0.004788402673083534,1
671,MAX_CREDIT_TYPE_Consumer_credit_DAYS_CREDIT_ENDDATE_B,0.004315258378897116,1
793,ANNUITY_INCOME_PERC,0.004239946784789376,1
99,var_33,0.004067592774173446,1
797,CAR_TO_EMPLOYED_RATIO,0.00405135147347798,1
143,SUM_CREDIT_TYPE_Consumer_credit_AMT_CREDIT_MAX_OVERDUE_B,0.004027246265856805,1
436,MIN_CREDIT_TYPE_Consumer_credit_AMT_CREDIT_MAX_OVERDUE_B,0.00397805308856018,1
2,AMT_CREDIT,0.00397804064059682,1
15,OCCUPATION_TYPE,0.003973820746870333,1
329,SUM_CREDIT_ACTIVE_Active_B,0.0033358660413541808,1
202,SUM_CREDIT_TYPE_Car_loan_AMT_CREDIT_MAX_OVERDUE_B,0.0029829671065727073,1
666,MAX_CREDIT_TYPE_Microloan_DAYS_CREDIT_ENDDATE_B,0.0029258877624787306,1
9,OWN_CAR_AGE,0.002682001030375214,1
141,SUM_CREDIT_TYPE_Microloan_DAYS_CREDIT_B,0.002581965679291198,1
6,DAYS_EMPLOYED,0.0025379037582503603,1
110,var_44,0.002525940329826559,1
28,YEARS_BEGINEXPLUATATION_AVG,0.002483327654362313,1
791,INCOME_CREDIT_PERC,0.002467729437448659,1
11,FLAG_WORK_PHONE,0.00238842877518982,1
69,var_3,0.0023863534940241106,1
374,MIN_DAYS_CREDIT_B,0.0022458256568382014,1
269,MAX_CREDIT_ACTIVE_Closed_AMT_CREDIT_SUM_LIMIT_B,0.00222172017065041,1
81,var_15,0.002191944647480227,1
88,var_22,0.0021739434780203523,1
20,REG_CITY_NOT_LIVE_CITY,0.002126184502784736,1
7,DAYS_REGISTRATION,0.0020776548273198697,1
90,var_24,0.0020089156716527443,1
16,REGION_RATING_CLIENT,0.001991031405334376,1
98,var_32,0.00198098816851326,1
571,AVG_CREDIT_TYPE_Credit_card_AMT_CREDIT_SUM_DEBT_B,0.001925626946339862,1
136,SUM_CREDIT_TYPE_Microloan_AMT_CREDIT_SUM_B,0.0019215439950548492,1
383,AVG_AMT_CREDIT_SUM_B,0.0018901326777277256,1
528,MIN_CREDIT_ACTIVE_Active_DAYS_ENDDATE_FACT_B,0.001856207319902321,1
85,var_19,0.0018218471156688132,1
261,MAX_CREDIT_ACTIVE_Active_AMT_CREDIT_SUM_OVERDUE_B,0.001821563781160253,1
115,var_49,0.001715496309471919,1
647,AVG_ENDDATE_DIFF_B,0.0015514705509102067,1
641,MIN_BUREAU_CREDIT_FACT_DIFF_B,0.0015313475612481343,1
769,AVG_CREDIT_ACTIVE_Sold_DAYS_CREDIT_ENDDATE_B,0.0015023858254797123,1
113,var_47,0.0014552781235087,1
238,SUM_CREDIT_TYPE_Credit_card_AMT_CREDIT_SUM_B,0.0013751859470880143,1
144,SUM_CREDIT_TYPE_Consumer_credit_CNT_CREDIT_PROLONG_B,0.0013329322646569051,1
